iter	Passed	Remaining
441	919	1160
442	920	1157
443	921	1153
444	925	1154
445	928	1153
446	930	1150
447	931	1148
448	933	1145
449	934	1142
450	936	1139
451	942	1143
452	944	1140
453	945	1137
454	947	1134
455	948	1131
456	949	1128
457	950	1124
458	951	1121
459	955	1121
460	956	1118
461	957	1115
462	958	1112
463	960	1109
464	961	1106
465	964	1105
466	965	1102
467	975	1108
468	976	1105
469	978	1102
470	979	1100
471	981	1097
472	982	1095
473	988	1096
474	989	1094
475	991	1091
476	992	1088
477	994	1085
478	995	1082
479	997	1080
480	1001	1080
481	1003	1078
482	1004	1075
483	1006	1072
484	1007	1070
485	1009	1067
486	1010	1064
487	1012	1061
488	1018	1064
489	1020	1062
490	1022	1059
491	1023	1056
492	1025	1054
493	1026	1051
494	1028	1048
495	1031	1048
496	1035	1047
497	1037	1045
498	1038	1043
499	1040	1040
500	1041	1037
501	1049	1041
502	1051	1039
503	1053	1037
504	1058	1037
505	1063	1038
506	1066	1036
507	1067	1033
508	1069	1031
509	1070	1028
510	1072	1026
511	1075	1024
512	1080	1025
513	1081	1022
514	1083	1020
515	1085	1018
516	1086	1015
517	1090	1014
518	1100	1019
519	1101	1016
520	1102	1013
521	1104	1011
522	1107	1010
523	1110	1008
524	1111	1005
525	1113	1003
526	1114	1000
527	1116	997
528	1117	995
529	1125	997
530	1127	996
531	1129	993
532	1133	993
533	1146	1000
534	1148	998
535	1149	995
536	1157	997
537	1159	995
538	1161	993
539	1162	990
540	1164	988
541	1168	987
542	1172	986
543	1177	987
544	1179	985
545	1185	985
546	1187	983
547	1188	980
548	1189	977
549	1191	975
550	1193	972
551	1195	970
552	1199	969
553	1201	967
554	1203	964
555	1204	962
556	1206	959
557	1207	956
558	1225	966
559	1227	964
560	1233	965
561	1234	962
562	1236	959
563	1237	956
564	1239	954
565	1240	951
566	1242	948
567	1255	955
568	1257	952
569	1258	949
570	1263	949
571	1265	946
572	1266	943
573	1267	941
574	1269	938
575	1270	935
576	1279	938
577	1281	935
578	1282	932
579	1284	930
580	1286	927
581	1291	927
582	1294	925
583	1296	923
584	1298	920
585	1299	917
586	1300	915
587	1302	912
588	1307	912
589	1310	910
590	1312	908
591	1315	906
592	1317	904
593	1322	904
594	1324	901
595	1325	898
596	1327	895
597	1328	893
598	1330	890
599	1331	887
600	1332	884
601	1337	884
602	1340	882
603	1342	879
604	1343	877
605	1345	874
606	1347	872
607	1358	875
608	1359	872
609	1362	870
610	1363	868
611	1368	867
612	1371	865
613	1373	863
614	1376	861
615	1377	859
616	1379	856
617	1384	855
618	1387	854
619	1389	851
620	1390	848
621	1391	845
622	1393	843
623	1401	844
624	1403	842
625	1404	839
626	1406	836
627	1407	833
628	1408	831
629	1414	830
630	1415	827
631	1417	825
632	1418	822
633	1420	819
634	1423	818
635	1424	815
636	1429	814
637	1432	812
638	1434	810
639	1435	807
640	1437	804
641	1438	802
642	1440	799
643	1446	799
644	1447	796
645	1449	794
646	1451	791
647	1453	789
648	1458	788
649	1460	786
650	1461	783
651	1463	780
652	1464	778
653	1466	775
654	1469	774
655	1473	772
656	1474	769
657	1476	767
658	1481	766
659	1488	766
660	1490	764
661	1491	761
662	1492	758
663	1494	756
664	1495	753
665	1497	750
666	1501	749
667	1503	747
668	1504	744
669	1506	741
670	1508	739
671	1509	736
672	1511	734
673	1512	731
674	1516	729
675	1518	727
676	1520	725
677	1521	722
678	1522	719
679	1524	717
680	1525	714
681	1532	714
682	1534	712
683	1535	709
684	1537	706
685	1538	704
686	1540	701
687	1547	701
688	1549	699
689	1550	696
690	1552	694
691	1554	691
692	1556	689
693	1562	688
694	1564	686
695	1566	684
696	1567	681
697	1569	678
698	1570	676
699	1572	673
700	1577	672
701	1579	670
702	1581	668
703	1583	665
704	1587	664
705	1589	661
706	1590	659
707	1591	656
708	1593	654
709	1594	651
710	1596	648
711	1598	646
712	1606	646
713	1608	644
714	1611	642
715	1613	640
716	1619	639
717	1622	637
718	1623	634
719	1624	631
720	1627	629
721	1629	627
722	1634	626
723	1637	624
724	1638	621
725	1639	618
726	1641	616
727	1642	613
728	1644	611
729	1649	610
730	1652	607
731	1653	605
732	1654	602
733	1655	599
734	1656	597
735	1657	594
736	1658	591
737	1663	590
738	1666	588
739	1667	585
740	1668	583
741	1669	580
742	1670	577
743	1671	575
744	1672	572
745	1673	569
746	1677	568
747	1679	565
748	1680	563
749	1681	560
750	1682	557
751	1683	555
752	1684	552
753	1685	550
754	1686	547
755	1687	544
756	1688	542
757	1692	540
758	1695	538
759	1696	535
760	1697	533
761	1712	534
762	1714	532
763	1716	530
764	1717	527
765	1719	525
766	1724	523
767	1725	521
768	1726	518
769	1728	516
770	1729	513
771	1731	511
772	1732	508
773	1734	506
774	1735	503
775	1739	502
776	1741	499
777	1742	497
778	1743	494
779	1744	492
780	1745	489
781	1746	486
782	1748	484
783	1752	482
784	1755	480
785	1756	478
786	1757	475
787	1759	473
788	1760	470
789	1761	468
790	1762	465
791	1767	464
792	1769	461
793	1770	459
794	1771	456
795	1772	454
796	1773	451
797	1774	449
798	1775	446
799	1776	444
800	1778	441
801	1781	439
802	1783	437
803	1785	435
804	1786	432
805	1787	430
806	1788	427
807	1789	425
808	1790	422
809	1791	420
810	1797	418
811	1799	416
812	1800	414
813	1801	411
814	1802	409
815	1803	406
816	1804	404
817	1805	401
818	1807	399
819	1809	397
820	1810	394
821	1811	392
822	1812	389
823	1813	387
824	1814	384
825	1816	382
826	1817	380
827	1818	377
828	1819	375
829	1826	374
830	1828	371
831	1829	369
832	1830	367
833	1832	364
834	1834	362
835	1840	360
836	1843	358
837	1844	356
838	1845	354
839	1847	351
840	1848	349
841	1849	347
842	1854	345
843	1856	343
844	1857	340
845	1859	338
846	1860	336
847	1862	333
848	1864	331
849	1867	329
850	1871	327
851	1873	325
852	1875	323
853	1876	320
854	1878	318
855	1879	316
856	1885	314
857	1887	312
858	1888	309
859	1889	307
860	1893	305
861	1900	304
862	1902	301
863	1903	299
864	1905	297
865	1910	295
866	1915	293
867	1918	291
868	1919	289
869	1921	287
870	1927	285
871	1929	283
872	1931	280
873	1933	278
874	1934	276
875	1936	274
876	1943	272
877	1945	270
878	1946	267
879	1948	265
880	1949	263
881	1951	261
882	1952	258
883	1959	257
884	1961	254
885	1962	252
886	1964	250
887	1965	247
888	1966	245
889	1969	243
890	1971	241
891	1972	238
892	1973	236
893	1974	234
894	1975	231
895	1976	229
896	1982	227
897	1984	225
898	1985	223
899	1987	220
900	1988	218
901	1990	216
902	1991	213
903	1992	211
904	1996	209
905	1999	207
906	2000	205
907	2001	202
908	2003	200
909	2004	198
910	2005	195
911	2006	193
912	2013	191
913	2014	189
914	2016	187
915	2017	185
916	2019	182
917	2020	180
918	2021	178
919	2022	175
920	2026	173
921	2028	171
922	2029	169
923	2030	167
924	2031	164
925	2032	162
926	2034	160
927	2035	157
928	2036	155
929	2037	153
930	2042	151
931	2043	149
932	2045	146
933	2046	144
934	2047	142
935	2048	140
936	2049	137
937	2051	135
938	2053	133
939	2057	131
940	2058	129
941	2060	126
942	2061	124
943	2062	122
944	2064	120
945	2065	117
946	2066	115
947	2067	113
948	2070	111
949	2073	109
950	2075	106
951	2076	104
952	2078	102
953	2080	100
954	2081	98
955	2083	95
956	2088	93
957	2089	91
958	2090	89
959	2091	87
960	2092	84
961	2094	82
962	2095	80
963	2097	78
964	2098	76
965	2100	73
966	2101	71
967	2103	69
968	2104	67
969	2105	65
970	2106	62
971	2107	60
972	2109	58
973	2110	56
974	2115	54
975	2116	52
976	2118	49
977	2119	47
978	2120	45
979	2122	43
980	2123	41
981	2124	38
982	2125	36
983	2128	34
984	2131	32
985	2132	30
986	2133	28
987	2134	25
988	2136	23
989	2137	21
990	2138	19
991	2139	17
992	2140	15
993	2146	12
994	2147	10
995	2148	8
996	2149	6
997	2150	4
998	2151	2
999	2152	0
